Date	Time	Open	High	Low	Close	Volume
11/01/2022	00:30:00	3063.1	3070.25	3054.69	3054.7	1235.8087
11/01/2022	01:00:00	3054.7	3071.1	3052.37	3070.72	1627.3795
11/01/2022	01:30:00	3070.71	3091.65	3069.3	3091.65	2347.8538
11/01/2022	02:00:00	3091.65	3121.53	3086.05	3118.02	3468.5617
11/01/2022	02:30:00	3118.12	3128.9	3109.47	3115.81	2960.4504
11/01/2022	03:00:00	3115.81	3117.58	3107.12	3111.57	1198.1789
11/01/2022	03:30:00	3111.83	3123.33	3111.83	3119.99	1721.1054
11/01/2022	04:00:00	3119.99	3124.62	3108.1	3112.91	1662.2399
11/01/2022	04:30:00	3112.9	3121.59	3106.6	3118.46	1433.7196
11/01/2022	05:00:00	3118.45	3119.54	3101.86	3102.14	1060.9676
11/01/2022	05:30:00	3102.02	3116.66	3102.02	3111.06	905.1492
11/01/2022	06:00:00	3110.96	3122.6	3108.42	3111.55	954.9144
11/01/2022	06:30:00	3111.47	3114.69	3098.03	3108.0	1277.0607
11/01/2022	07:00:00	3108.0	3119.1	3108.0	3115.68	1142.5101
11/01/2022	07:30:00	3115.66	3136.32	3105.89	3129.54	1917.1956
11/01/2022	08:00:00	3129.55	3146.17	3120.06	3122.03	4671.0321
11/01/2022	08:30:00	3122.03	3123.52	3103.25	3107.76	3348.6882
11/01/2022	09:00:00	3107.87	3114.8	3097.74	3113.02	1959.54
11/01/2022	09:30:00	3113.03	3133.44	3111.67	3123.17	1760.2182
11/01/2022	10:00:00	3123.17	3132.81	3104.26	3110.46	2265.7881
11/01/2022	10:30:00	3110.35	3114.19	3089.06	3094.0	1854.4976
11/01/2022	11:00:00	3094.2	3113.23	3092.36	3108.5	2504.9562
11/01/2022	11:30:00	3108.5	3120.32	3106.16	3111.48	2516.3666
11/01/2022	12:00:00	3111.47	3135.32	3105.04	3126.61	2426.3548
11/01/2022	12:30:00	3127.05	3131.47	3118.96	3122.0	1451.2894
11/01/2022	13:00:00	3122.01	3131.38	3116.71	3120.05	1887.5271
11/01/2022	13:30:00	3120.06	3127.04	3107.12	3113.56	1936.978
11/01/2022	14:00:00	3113.55	3122.41	3086.9	3091.06	5085.9186
11/01/2022	14:30:00	3091.41	3119.47	3075.84	3115.66	6818.7554
11/01/2022	15:00:00	3115.66	3157.64	3111.44	3131.86	6913.0081
11/01/2022	15:30:00	3132.03	3146.12	3111.18	3134.0	4667.7676
11/01/2022	16:00:00	3134.15	3202.7	3130.22	3200.46	10951.4702
11/01/2022	16:30:00	3200.99	3237.28	3197.41	3219.61	9081.5141
11/01/2022	17:00:00	3219.71	3263.99	3201.19	3212.95	10054.9981
11/01/2022	17:30:00	3212.96	3240.43	3207.78	3232.11	5149.9212
11/01/2022	18:00:00	3232.65	3250.0	3221.88	3246.93	2313.058
11/01/2022	18:30:00	3246.92	3250.49	3228.29	3234.0	3491.9971
11/01/2022	19:00:00	3234.31	3237.88	3217.8	3230.32	3627.5198
11/01/2022	19:30:00	3230.31	3246.7	3221.32	3238.12	2960.6592
11/01/2022	20:00:00	3238.12	3249.2	3237.01	3242.0	2753.5781
11/01/2022	20:30:00	3241.84	3248.84	3233.94	3240.46	1956.0187
11/01/2022	21:00:00	3240.62	3243.83	3229.66	3229.94	1383.7975
11/01/2022	21:30:00	3230.1	3237.86	3227.25	3231.51	1133.6498
11/01/2022	22:00:00	3231.51	3237.82	3224.6	3225.19	1117.7552
